# Centroids of the Harmonized Landsat8-Sentinel2 tiles corresponding to the Brazilian (21L??) and Bolivian-Brazilian (19L??) Amazon.

Name,lon,lat

### ordered
19LGK,-66.6784258543372,-9.5349023493158
19LDH,-69.4136890415321,-11.3515522512324

### to order

19LDJ,-69.4124412958096,-10.4470009176556
19LDK,-69.411302611758,-9.54239823886662
19LDL,-69.4102721203074,-8.63829118011553
19LEH,-68.4970501539263,-11.3514135710415
19LEJ,-68.4985670979914,-10.4468735379896
19LEK,-68.4999514508523,-9.54228209711771
19LEL,-68.5012042688163,-8.63818621290645
19LFJ,-67.5848254416773,-10.4441306656819
19LFK,-67.588731063146,-9.53978121015275
19LGJ,-66.6720054573817,-10.4387797385769
21LWF,-56.4936116077968,-13.1597800428312
21LWG,-56.495399697793,-12.2553554069005
21LWH,-56.4970501539263,-11.3514135710415
21LXF,-55.5708448024945,-13.1563027654789
21LXG,-55.5758894206494,-12.2521245430969
21LXH,-55.5805457590027,-11.3484273670137
21LYF,-54.649023181382,-13.1495191773595
21LYG,-54.6573157951184,-12.2458216492716
21LYH,-54.6649701886694,-11.3426017501495
